id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low
53111457,19000, 60 months,19.19,E,E3,retail sales,6 years,MORTGAGE,70000,15-Jun,Current,major_purchase,WA,660
46274143,7000, 36 months,14.65,C,C5,Executive Director,3 years,RENT,150000,15-Apr,Fully Paid,other,FL,670
119314297,20000, 36 months,14.08,C,C3,Teacher,10+ years,MORTGAGE,79000,17-Sep,Current,major_purchase,WI,730
139558372,19000, 60 months,30.17,F,F3,Operator,< 1 year,MORTGAGE,33000,18-Sep,Current,debt_consolidation,SC,680
50063485,14250, 36 months,13.99,C,C4,Production Technician,< 1 year,OWN,37500,15-Jun,Fully Paid,credit_card,CA,670
109347689,17500, 60 months,15.05,C,C4,Music Director,3 years,RENT,53000,17-May,Current,debt_consolidation,MI,685
49078013,3000, 36 months,11.53,B,B5,Insurance specialist ,1 year,RENT,25000,15-May,Fully Paid,debt_consolidation,FL,665
80578982,1925, 36 months,14.46,C,C4,Sales associate,3 years,RENT,40000,16-Jun,Current,renewable_energy,CA,700
61373430,9150, 36 months,17.86,D,D5,Facilities Coordinator,10+ years,RENT,52000,15-Oct,Fully Paid,other,NY,740
127296892,15000, 36 months,16.02,C,C5,Conductor ,4 years,RENT,96000,18-Jan,Current,debt_consolidation,NY,685
56077139,21600, 36 months,9.99,B,B3,Teacher,10+ years,MORTGAGE,140000,15-Jul,Fully Paid,debt_consolidation,WY,675
128026086,12800, 36 months,7.35,A,A4,Meat Department Trainer,10+ years,MORTGAGE,66000,18-Feb,Fully Paid,debt_consolidation,MO,730
137774666,11200, 36 months,7.21,A,A3,Research associate,10+ years,MORTGAGE,59000,18-Aug,Current,debt_consolidation,CT,780
118693044,7000, 36 months,10.91,B,B4,Customer Service Coordinator,2 years,MORTGAGE,50000,17-Sep,Current,debt_consolidation,SC,730
58410892,7000, 36 months,14.65,C,C5,Teacher ,4 years,RENT,55000,15-Aug,Fully Paid,debt_consolidation,IL,690
129227133,10000, 36 months,16.01,C,C5,Bus Driver,10+ years,MORTGAGE,45000,18-Mar,Current,other,NY,675
137796710,8000, 36 months,18.94,D,D2,Vice President,9 years,RENT,150000,18-Jul,Current,other,NY,660
48141190,18925, 60 months,16.55,D,D2,Systems Engineer,9 years,MORTGAGE,126000,15-May,Current,debt_consolidation,VA,685
139341163,5000, 36 months,7.21,A,A3,Director,10+ years,MORTGAGE,56325,18-Sep,Current,home_improvement,CT,775
