,id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low
239108,53111457,19000.0, 60 months,19.19,E,E3,retail sales,6 years,MORTGAGE,70000.0,Jun-15,Current,major_purchase,WA,660.0
319672,46274143,7000.0, 36 months,14.65,C,C5,Executive Director,3 years,RENT,150000.0,Apr-15,Fully Paid,other,FL,670.0
35085,66311063,25300.0, 36 months,14.48,C,C5,,,OWN,55000.0,Dec-15,Charged Off,credit_card,NC,745.0
542902,119314297,20000.0, 36 months,14.08,C,C3,Teacher,10+ years,MORTGAGE,79000.0,Sep-17,Current,major_purchase,WI,730.0
760608,139558372,19000.0, 60 months,30.17,F,F3,Operator,< 1 year,MORTGAGE,33000.0,Sep-18,Current,debt_consolidation,SC,680.0
257211,50063485,14250.0, 36 months,13.99,C,C4,Production Technician,< 1 year,OWN,37500.0,Jun-15,Fully Paid,credit_card,CA,670.0
926770,109347689,17500.0, 60 months,15.05,C,C4,Music Director,3 years,RENT,53000.0,May-17,Current,debt_consolidation,MI,685.0
279172,49078013,3000.0, 36 months,11.53,B,B5,Insurance specialist ,1 year,RENT,25000.0,May-15,Fully Paid,debt_consolidation,FL,665.0
685566,80578982,1925.0, 36 months,14.46,C,C4,Sales associate,3 years,RENT,40000.0,Jun-16,Current,renewable_energy,CA,700.0
112397,61373430,9150.0, 36 months,17.86,D,D5,Facilities Coordinator,10+ years,RENT,52000.0,Oct-15,Fully Paid,other,NY,740.0
506035,127296892,15000.0, 36 months,16.02,C,C5,Conductor ,4 years,RENT,96000.0,Jan-18,Current,debt_consolidation,NY,685.0
206606,56077139,21600.0, 36 months,9.99,B,B3,Teacher,10+ years,MORTGAGE,140000.0,Jul-15,Fully Paid,debt_consolidation,WY,675.0
491181,128026086,12800.0, 36 months,7.35,A,A4,Meat Department Trainer,10+ years,MORTGAGE,66000.0,Feb-18,Fully Paid,debt_consolidation,MO,730.0
946467,107291204,16000.0, 36 months,6.99,A,A2,,,MORTGAGE,50000.0,May-17,Current,credit_card,AZ,790.0
826640,137774666,11200.0, 36 months,7.21,A,A3,Research associate,10+ years,MORTGAGE,59000.0,Aug-18,Current,debt_consolidation,CT,780.0
