id,loan_amnt,int_rate,grade,home_ownership,annual_inc,issue_d,loan_status,purpose,fico_range_low,target,season
107175638,15000,12.74,5,2,57000,17-May,Fully Paid,debt_consolidation,670,1,2
62196799,12000,13.99,5,1,150000,15-Oct,Fully Paid,debt_consolidation,680,1,4
80918180,12000,11.47,6,2,60000,16-Jun,Charged Off,debt_consolidation,690,0,3
57326420,10000,17.86,4,3,38000,15-Aug,Charged Off,debt_consolidation,680,0,3
64191317,17475,14.33,5,1,67095.6,15-Nov,Fully Paid,debt_consolidation,665,1,4
48100136,23650,19.19,3,1,53787,15-Jun,Fully Paid,debt_consolidation,720,1,3
61529186,22000,12.29,5,1,85000,15-Oct,Fully Paid,debt_consolidation,660,1,4
55887185,5825,12.29,5,1,32000,15-Jul,Fully Paid,credit_card,665,1,3
67859732,6025,11.22,6,1,57900,15-Dec,Fully Paid,debt_consolidation,665,1,1
72246946,25000,12.99,5,1,175000,16-Mar,Fully Paid,small_business,680,1,2
64988266,8000,10.99,6,2,52000,15-Nov,Fully Paid,major_purchase,685,1,4
109215750,3000,15.05,5,1,105000,17-May,Fully Paid,credit_card,670,1,2
77228497,36000,11.47,6,1,104000,16-May,Charged Off,debt_consolidation,800,0,2
57784746,5500,14.65,5,1,40000,15-Aug,Fully Paid,debt_consolidation,725,1,3
81463527,18000,11.99,5,2,54000,16-Jun,Fully Paid,credit_card,685,1,3
46692729,25000,19.52,3,1,70000,15-Apr,Fully Paid,debt_consolidation,665,1,2
66494126,11000,16.55,4,2,125000,15-Dec,Fully Paid,major_purchase,660,1,1
62216453,35000,18.55,3,2,98500,15-Oct,Charged Off,debt_consolidation,670,0,4
73914852,10675,19.99,3,1,93048,16-Mar,Charged Off,debt_consolidation,675,0,2
73905020,8400,17.27,4,2,47700,16-Mar,Fully Paid,debt_consolidation,675,1,2
60407248,35000,13.99,5,2,88400,15-Sep,Fully Paid,credit_card,680,1,
111812910,8000,7.21,7,1,60000,17-Jul,Fully Paid,debt_consolidation,715,1,3
80118289,2000,9.16,6,2,104000,16-Jun,Fully Paid,debt_consolidation,675,1,3
73579444,20000,9.75,6,1,84000,16-Mar,Fully Paid,debt_consolidation,680,1,2
74714800,10000,11.99,5,3,50000,16-Mar,Fully Paid,home_improvement,755,1,2
60792693,26000,9.17,6,2,99999,15-Oct,Fully Paid,credit_card,710,1,4
44673453,3000,11.53,6,3,65000,15-Apr,Fully Paid,home_improvement,670,1,2
44986003,4000,16.55,4,3,150000,15-Apr,Charged Off,other,665,0,2
128895214,2000,19.03,4,2,32500,18-Feb,Fully Paid,debt_consolidation,690,1,1
51838678,9500,7.89,7,2,45000,15-Jul,Fully Paid,credit_card,675,1,3
40097357,12000,6.49,7,3,140000,15-Jan,Fully Paid,debt_consolidation,670,1,1
55151157,35000,26.77,1,1,100000,15-Jul,Charged Off,debt_consolidation,670,0,3
78559240,9400,12.99,5,2,41844,16-May,Charged Off,credit_card,660,0,2
65009049,3000,8.18,6,2,40000,15-Nov,Charged Off,home_improvement,725,0,4
48504931,15000,6.39,7,1,62000,15-May,Fully Paid,debt_consolidation,775,1,2
