,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
953872,107175638,,15000.0,15000.0,15000.0, 36 months,12.74,503.54,C,C1,Csr,1 year,RENT,57000.0,Source Verified,May-17,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=107175638,,debt_consolidation,Debt consolidation,352xx,AL,23.33,2.0,Jul-95,670.0,674.0,0.0,15.0,,27.0,0.0,6276.0,49.0,58.0,f,0.0,0.0,17058.31995,17058.32,15000.0,2058.32,0.0,0.0,0.0,Aug-18,10029.99,,Aug-18,604.0,600.0,0.0,19.0,1.0,Individual,,,,0.0,452.0,121901.0,1.0,19.0,2.0,3.0,4.0,115625.0,122.0,1.0,1.0,670.0,113.0,12800.0,2.0,1.0,3.0,4.0,4876.0,3686.0,23.2,0.0,0.0,150.0,112.0,11.0,4.0,0.0,11.0,15.0,8.0,15.0,1.0,3.0,5.0,4.0,5.0,50.0,6.0,7.0,5.0,27.0,0.0,0.0,1.0,3.0,94.8,0.0,0.0,0.0,107549.0,121901.0,4800.0,94749.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
101672,62196799,,12000.0,12000.0,12000.0, 60 months,13.99,279.16,C,C4,Physical therapist.  Co owner,10+ years,MORTGAGE,150000.0,Not Verified,Oct-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=62196799,,debt_consolidation,Debt consolidation,992xx,WA,6.86,2.0,Oct-97,680.0,684.0,3.0,9.0,,6.0,0.0,12765.0,29.9,28.0,w,0.0,0.0,15410.6949,15410.69,12000.0,3410.69,0.0,0.0,0.0,Apr-18,7333.7,,Apr-18,699.0,695.0,1.0,32.0,1.0,Individual,,,,0.0,184.0,285748.0,,,,,,,,,,,,28200.0,,,,2.0,47625.0,10189.0,32.1,0.0,0.0,156.0,216.0,12.0,1.0,5.0,12.0,13.0,0.0,9.0,0.0,2.0,3.0,2.0,12.0,5.0,4.0,18.0,3.0,6.0,0.0,0.0,0.0,2.0,78.6,0.0,0.0,0.0,323178.0,39755.0,15000.0,26950.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
666905,80918180,,12000.0,12000.0,12000.0, 36 months,11.47,395.55,B,B5,Associate Information Systems Analyst,3 years,RENT,60000.0,Verified,Jun-16,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=80918180,,debt_consolidation,Debt consolidation,957xx,CA,6.04,0.0,Aug-98,690.0,694.0,1.0,,,5.0,0.0,10807.0,97.4,8.0,w,0.0,0.0,4814.69,4814.69,2626.48,918.18,0.0,1270.03,228.6054,Mar-17,395.55,,Sep-17,514.0,510.0,0.0,,1.0,Individual,,,,0.0,0.0,10807.0,0.0,0.0,0.0,0.0,213.0,0.0,,0.0,2.0,4864.0,97.0,11100.0,0.0,0.0,1.0,2.0,2161.0,217.0,97.2,0.0,0.0,213.0,105.0,19.0,19.0,0.0,19.0,,0.0,,0.0,3.0,5.0,3.0,4.0,2.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,11100.0,10807.0,7700.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
182617,57326420,,10000.0,10000.0,10000.0, 60 months,17.86,253.18,D,D5,order filler,10+ years,OWN,38000.0,Not Verified,Aug-15,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=57326420,,debt_consolidation,Debt consolidation,238xx,VA,32.66,1.0,Mar-80,680.0,684.0,0.0,4.0,,11.0,0.0,11745.0,60.5,25.0,w,0.0,0.0,9596.85,9596.85,4747.19,4104.19,0.0,745.47,134.1846,Jul-18,253.18,,Jan-19,559.0,555.0,0.0,30.0,1.0,Individual,,,,0.0,0.0,40714.0,,,,,,,,,,,,19400.0,,,,7.0,3701.0,2918.0,68.3,0.0,0.0,142.0,243.0,2.0,2.0,2.0,2.0,4.0,,4.0,2.0,3.0,7.0,4.0,8.0,5.0,8.0,18.0,7.0,10.0,0.0,0.0,0.0,3.0,80.0,50.0,0.0,0.0,62530.0,38595.0,9200.0,32096.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
69322,64191317,,17475.0,17475.0,17475.0, 36 months,14.33,600.06,C,C5,Shipping Lead,10+ years,MORTGAGE,67095.6,Verified,Nov-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=64191317,,debt_consolidation,Debt consolidation,540xx,WI,32.66,1.0,Apr-00,665.0,669.0,0.0,6.0,,20.0,0.0,17356.0,71.4,25.0,w,0.0,0.0,20941.07357,20941.07,17475.0,3466.07,0.0,0.0,0.0,Sep-17,8298.1,,Jun-18,619.0,615.0,0.0,46.0,1.0,Individual,,,,0.0,0.0,138447.0,,,,,,,,,,,,24300.0,,,,9.0,6922.0,2385.0,77.3,0.0,0.0,157.0,187.0,10.0,8.0,3.0,10.0,,2.0,,1.0,4.0,10.0,6.0,7.0,6.0,14.0,15.0,10.0,20.0,0.0,0.0,0.0,2.0,92.0,66.7,0.0,0.0,242067.0,98778.0,10500.0,93832.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
271154,48100136,,23650.0,23650.0,23650.0, 60 months,19.19,615.97,E,E3,REGISTERED NURSE,2 years,MORTGAGE,53787.0,Verified,Jun-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=48100136,,debt_consolidation,Debt consolidation,337xx,FL,19.79,0.0,Jan-89,720.0,724.0,0.0,38.0,,31.0,0.0,26722.0,50.7,46.0,f,0.0,0.0,30738.38817,30738.39,23650.0,7088.39,0.0,0.0,0.0,Mar-17,18444.2,,Jul-17,804.0,800.0,0.0,,1.0,Individual,,,,0.0,0.0,172561.0,,,,,,,,,,,,58700.0,,,,6.0,5950.0,20471.0,55.3,0.0,0.0,51.0,316.0,13.0,8.0,1.0,49.0,38.0,13.0,38.0,0.0,4.0,8.0,8.0,13.0,14.0,17.0,31.0,8.0,31.0,0.0,0.0,0.0,2.0,100.0,25.0,0.0,0.0,218140.0,74839.0,38400.0,52977.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
121197,61529186,,22000.0,22000.0,22000.0, 36 months,12.29,733.77,C,C1,VP Sales & Engineering,< 1 year,MORTGAGE,85000.0,Verified,Oct-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61529186,,debt_consolidation,Debt consolidation,535xx,WI,8.03,0.0,Oct-02,660.0,664.0,2.0,63.0,57.0,5.0,1.0,8033.0,76.5,22.0,w,0.0,0.0,26294.8583,26294.86,22000.0,4294.86,0.0,0.0,0.0,May-18,4311.8,,Oct-18,679.0,675.0,0.0,63.0,1.0,Individual,,,,0.0,850.0,99539.0,,,,,,,,,,,,10500.0,,,,3.0,19908.0,,,0.0,0.0,155.0,121.0,14.0,4.0,1.0,,,0.0,,1.0,0.0,2.0,0.0,2.0,13.0,3.0,5.0,2.0,5.0,0.0,0.0,0.0,2.0,90.9,,0.0,0.0,105845.0,18950.0,0.0,11402.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
201915,55887185,,5825.0,5825.0,5825.0, 36 months,12.29,194.29,C,C1,CNA,2 years,MORTGAGE,32000.0,Verified,Jul-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=55887185,,credit_card,Credit card refinancing,373xx,TN,20.03,1.0,Sep-83,665.0,669.0,0.0,79.0,76.0,8.0,1.0,3723.0,61.0,30.0,w,0.0,0.0,6902.575231,6902.58,5825.0,1077.58,0.0,0.0,0.0,Nov-17,8.02,,Nov-16,614.0,610.0,0.0,13.0,1.0,Individual,,,,0.0,67.0,15473.0,,,,,,,,,,,,6100.0,,,,3.0,1934.0,1000.0,62.0,0.0,0.0,147.0,382.0,7.0,7.0,4.0,7.0,,12.0,79.0,0.0,4.0,6.0,5.0,9.0,5.0,6.0,22.0,6.0,8.0,,0.0,1.0,3.0,57.0,0.0,1.0,0.0,28937.0,15473.0,4000.0,22837.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
7924,67859732,,6025.0,6025.0,6025.0, 36 months,11.22,197.88,B,B5,Data  Tech ,10+ years,MORTGAGE,57900.0,Verified,Dec-15,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67859732,,debt_consolidation,Debt consolidation,023xx,MA,13.18,0.0,Jan-91,665.0,669.0,0.0,70.0,,14.0,0.0,15777.0,41.5,28.0,f,0.0,0.0,6424.1300009999995,6424.13,6025.0,399.13,0.0,0.0,0.0,Aug-16,5246.24,,Mar-19,704.0,700.0,0.0,70.0,1.0,Individual,,,,0.0,7272.0,121485.0,0.0,1.0,0.0,1.0,16.0,13495.0,84.0,4.0,6.0,2505.0,54.0,38000.0,3.0,4.0,3.0,7.0,8678.0,12652.0,30.1,0.0,0.0,140.0,299.0,8.0,8.0,2.0,41.0,70.0,5.0,70.0,2.0,3.0,7.0,4.0,10.0,4.0,12.0,22.0,7.0,14.0,0.0,0.0,0.0,4.0,89.3,75.0,0.0,0.0,152962.0,29272.0,18100.0,15983.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
1027305,72246946,,25000.0,25000.0,24975.0, 36 months,12.99,842.23,C,C2,inspector,2 years,MORTGAGE,175000.0,Not Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72246946,,small_business,Business,775xx,TX,31.3,0.0,Aug-88,680.0,684.0,0.0,64.0,,17.0,0.0,1141.0,6.4,33.0,f,0.0,0.0,30381.28453,30350.9,25000.0,5381.28,0.0,0.0,0.0,Jan-19,2506.24,,Feb-19,794.0,790.0,0.0,64.0,1.0,Individual,,,,0.0,2726.0,377796.0,1.0,7.0,1.0,4.0,2.0,188118.0,69.0,2.0,3.0,0.0,59.0,17700.0,1.0,6.0,1.0,7.0,23612.0,300.0,0.0,0.0,0.0,165.0,331.0,7.0,2.0,3.0,25.0,64.0,7.0,64.0,2.0,0.0,2.0,2.0,6.0,14.0,9.0,16.0,2.0,17.0,0.0,0.0,0.0,3.0,93.9,0.0,0.0,0.0,474962.0,189259.0,300.0,254872.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
